Open time,Open,High,Low,Close,Volume,Close time
1574838000000,146,146,146,146,0.010,1574841599999
1574841600000,125.03,145.01,125.03,133,0.080,1574845199999
1574845200000,133,133,133,133,0,1574848799999
1574848800000,142.20,144.52,142.10,142.62,2832.710,1574852399999
1574852400000,142.70,146.92,142.22,146.58,9079.800,1574855999999
1574856000000,146.53,149.34,145.73,147.38,7587.040,1574859599999
1574859600000,147.38,148.51,147.26,148.26,8692.130,1574863199999
1574863200000,148.35,149.14,146.80,147.65,9644.840,1574866799999
1574866800000,147.61,151.64,147.32,150.65,8928.030,1574870399999
1574870400000,150.72,153.58,148.33,152.60,9478.530,1574873999999
1574874000000,152.94,154.93,152.06,153.63,9082.120,1574877599999
1574877600000,153.66,155.50,152.84,153.03,7819.330,1574881199999
1574881200000,153.01,154.92,152.84,153.87,8705.970,1574884799999
1574884800000,153.84,155.66,152.91,153.23,9246.320,1574888399999
1574888400000,153.13,153.71,152.03,153.44,8738.500,1574891999999
1574892000000,153.29,154.29,152.63,152.63,7622.780,1574895599999
1574895600000,152.61,153.50,152.30,152.52,8453.650,1574899199999
1574899200000,154.29,154.47,154.21,154.21,36.520,1574902799999
1574902800000,154.23,154.23,146.41,146.62,2207,1574906399999
1574906400000,147.86,156.52,147.86,150.62,1467.270,1574909999999
1574910000000,150.62,153.09,150.43,152.03,4733.420,1574913599999
1574913600000,151.93,152.45,151.16,151.49,4319.320,1574917199999
1574917200000,151.46,151.83,150.18,151.15,5465.570,1574920799999
1574920800000,151.15,153.02,150.45,152.17,5652.590,1574924399999
1574924400000,152.17,152.72,151.47,151.98,5889.240,1574927999999
1574928000000,152.04,152.76,151.47,152.70,6100.715,1574931599999
1574931600000,152.70,152.72,151.24,152.21,5234.200,1574935199999
1574935200000,152.14,152.14,149.63,150.81,5436.880,1574938799999
1574938800000,150.81,151.75,150.45,151.43,4931.900,1574942399999
1574942400000,151.43,151.43,149.95,150.46,5998.320,1574945999999
1574946000000,150.46,151.19,150.13,150.84,4741.790,1574949599999
1574949600000,150.84,151.03,150.13,150.66,5173.760,1574953199999
1574953200000,150.72,154.51,150.53,153.78,5348.160,1574956799999
1574956800000,153.78,153.95,152.46,153.68,5282.140,1574960399999
1574960400000,153.65,153.69,152.80,153.39,6339.690,1574963999999
1574964000000,153.33,153.95,152.97,153.17,5099.040,1574967599999
1574967600000,153.19,153.85,153.12,153.50,4725.870,1574971199999
1574971200000,153.54,154,151.75,151.90,5832.700,1574974799999
1574974800000,151.90,152.26,151.11,151.74,4650.630,1574978399999
1574978400000,151.72,152.50,149.78,149.98,6867.455,1574981999999
1574982000000,150.01,150.82,148.88,150.48,5289.890,1574985599999
1574985600000,150.56,152.67,150.55,152.08,4007.320,1574989199999
1574989200000,152.08,152.50,151.32,151.87,4690.250,1574992799999
1574992800000,151.85,152.10,151.27,151.62,5104.500,1574996399999
1574996400000,151.62,152.64,151.52,152.15,4127.840,1574999999999
1575000000000,152.15,152.55,151.56,151.95,4975.410,1575003599999
1575003600000,151.95,152.10,150.89,151.48,4883.690,1575007199999
1575007200000,151.49,151.87,151.15,151.83,5200.170,1575010799999
1575010800000,151.80,152.68,151.29,152.51,5183.780,1575014399999
1575014400000,152.51,153.18,152.06,152.17,5413.910,1575017999999
1575018000000,152.17,154.88,152.17,154.37,4537.590,1575021599999
1575021600000,154.37,155.13,153.52,154,8070.640,1575025199999
1575025200000,154,154.34,153.14,153.26,6056.583,1575028799999
1575028800000,153.26,155.15,151.09,154.56,10224.940,1575032399999
1575032400000,154.52,156.30,153.92,155.83,13945.059,1575035999999
1575036000000,155.81,156.73,155.56,156.11,9214.203,1575039599999
1575039600000,156.12,156.93,155.57,156.65,7223.912,1575043199999
1575043200000,156.70,157.40,154.38,154.77,12514.780,1575046799999
1575046800000,154.77,155.39,154.25,154.76,8019.641,1575050399999
1575050400000,154.76,155.06,154.35,154.50,4306.348,1575053999999
1575054000000,154.50,154.79,153.92,154.09,8291.022,1575057599999
1575057600000,154.10,154.93,153.84,153.99,7601.842,1575061199999
1575061200000,153.99,154.17,152.09,152.18,9440.993,1575064799999
1575064800000,152.19,153.36,152.13,153.35,6238.824,1575068399999
1575068400000,153.36,154.78,152.84,154.41,8632.857,1575071999999
1575072000000,154.40,155.15,153.79,154.45,12787.546,1575075599999
1575075600000,154.45,154.95,153.90,154.18,15940.956,1575079199999
1575079200000,154.18,154.18,153.40,153.64,8448.075,1575082799999
1575082800000,153.64,153.88,153.08,153.88,9643.029,1575086399999
1575086400000,153.82,153.88,152.68,153.39,15400.938,1575089999999
1575090000000,153.38,153.94,152.99,153.84,11947.471,1575093599999
1575093600000,153.85,153.99,153.50,153.90,10912.248,1575097199999
1575097200000,153.90,154.83,153.65,154.64,16268.309,1575100799999
